"Gender","Height","Weight","Index","Min_Calorie","Max_Calorie"
"Female",179,67,"2",NA,NA
"Female",180,60,"2",NA,NA
"Female",154,132,"5",NA,NA
"Male",188,99,"3",NA,NA
"Male",142,135,"5",NA,NA
"Male",170,95,"4",NA,NA
"Male",152,141,"5",NA,NA
"Female",190,118,"4",NA,NA
"Female",181,111,"4",NA,NA
"Male",153,104,"5",NA,NA
"Male",187,140,"5",NA,NA
"Female",144,66,"4",NA,NA
"Female",148,54,"2",NA,NA
"Female",199,92,"2",NA,NA
"Female",167,85,"4",NA,NA
"Female",164,71,"3",NA,NA
"Female",185,102,"3",NA,NA
"Female",164,160,"5",NA,NA
"Male",142,71,"4",NA,NA
"Male",165,68,"2",NA,NA
"Female",172,62,"2",NA,NA
"Female",157,56,"2",NA,NA
"Male",155,57,"2",NA,NA
"Female",167,153,"5",NA,NA
"Female",164,126,"5",NA,NA
"Female",189,125,"4",NA,NA
"Female",161,145,"5",NA,NA
"Female",155,71,"3",NA,NA
"Female",171,118,"4",NA,NA
"Female",154,92,"4",NA,NA
"Male",179,83,"3",NA,NA
"Male",170,115,"4",NA,NA
"Female",184,106,"4",NA,NA
"Female",191,68,"2",NA,NA
"Male",162,58,"2",NA,NA
"Male",178,138,"5",NA,NA
"Female",157,60,"2",NA,NA
"Male",184,83,"2",NA,NA
"Male",197,88,"2",NA,NA
"Female",160,51,"2",NA,NA
"Male",184,153,"5",NA,NA
"Male",190,50,"0",NA,NA
"Male",174,90,"3",NA,NA
"Female",189,124,"4",NA,NA
"Female",186,143,"5",NA,NA
"Female",180,58,"1",NA,NA
"Female",186,148,"4",NA,NA
"Female",193,61,"1",NA,NA
"Male",161,103,"4",NA,NA
"Female",151,158,"5",NA,NA
"Female",195,147,"4",NA,NA
"Female",184,152,"5",NA,NA
"Male",141,80,"5",NA,NA
"Female",185,94,"3",NA,NA
"Female",186,127,"4",NA,NA
"Male",142,131,"5",NA,NA
"Female",147,67,"4",NA,NA
"Male",151,62,"3",NA,NA
"Female",160,124,"5",NA,NA
"Male",185,60,"1",NA,NA
"Female",163,63,"2",NA,NA
"Male",174,95,"4",NA,NA
"Female",150,144,"5",NA,NA
"Male",142,91,"5",NA,NA
"Male",178,142,"5",NA,NA
"Female",154,96,"5",NA,NA
"Male",176,87,"3",NA,NA
"Male",159,120,"5",NA,NA
"Male",191,62,"1",NA,NA
"Male",177,117,"4",NA,NA
"Male",151,154,"5",NA,NA
"Female",182,149,"5",NA,NA
"Female",197,72,"2",NA,NA
"Male",146,138,"5",NA,NA
"Female",160,83,"4",NA,NA
"Female",157,66,"3",NA,NA
"Female",150,50,"2",NA,NA
"Female",167,58,"2",NA,NA
"Female",180,70,"2",NA,NA
"Female",183,76,"2",NA,NA
"Female",183,87,"3",NA,NA
"Female",152,154,"5",NA,NA
"Female",164,71,"3",NA,NA
"Male",187,96,"3",NA,NA
"Male",169,136,"5",NA,NA
"Female",149,61,"3",NA,NA
"Male",163,137,"5",NA,NA
"Female",195,104,"3",NA,NA
"Male",174,107,"4",NA,NA
"Male",182,70,"2",NA,NA
"Male",169,110,"4",NA,NA
"Male",193,130,"4",NA,NA
"Male",148,141,"5",NA,NA
"Male",186,68,"2",NA,NA
"Male",165,143,"5",NA,NA
"Female",146,123,"5",NA,NA
"Female",166,133,"5",NA,NA
"Male",179,56,"1",NA,NA
"Female",177,101,"4",NA,NA
"Male",181,154,"5",NA,NA
"Female",161,154,"5",NA,NA
"Female",157,103,"5",NA,NA
"Female",169,98,"4",NA,NA
"Female",152,114,"5",NA,NA
"Female",162,64,"2",NA,NA
"Male",162,130,"5",NA,NA
"Female",177,61,"2",NA,NA
"Female",195,61,"1",NA,NA
"Male",140,146,"5",NA,NA
"Female",186,146,"5",NA,NA
"Female",178,107,"4",NA,NA
"Male",174,54,"1",NA,NA
"Female",180,59,"1",NA,NA
"Male",188,141,"4",NA,NA
"Female",187,130,"4",NA,NA
"Female",153,77,"4",NA,NA
"Female",165,95,"4",NA,NA
"Female",178,79,"2",NA,NA
"Female",163,154,"5",NA,NA
"Female",150,97,"5",NA,NA
"Male",179,127,"4",NA,NA
"Male",165,62,"2",NA,NA
"Male",168,158,"5",NA,NA
"Female",153,133,"5",NA,NA
"Male",184,157,"5",NA,NA
"Male",188,65,"1",NA,NA
"Female",166,153,"5",NA,NA
"Female",172,116,"4",NA,NA
"Male",182,73,"2",NA,NA
"Male",143,149,"5",NA,NA
"Male",152,146,"5",NA,NA
"Female",186,128,"4",NA,NA
"Male",159,140,"5",NA,NA
"Male",146,70,"4",NA,NA
"Female",176,121,"4",NA,NA
"Female",146,101,"5",NA,NA
"Male",159,145,"5",NA,NA
"Male",162,157,"5",NA,NA
"Female",172,90,"4",NA,NA
"Female",169,121,"5",NA,NA
"Male",182,50,"0",NA,NA
"Female",183,79,"2",NA,NA
"Male",176,77,"2",NA,NA
"Female",188,128,"4",NA,NA
"Female",175,83,"2",NA,NA
"Male",154,81,"4",NA,NA
"Female",184,147,"5",NA,NA
"Male",179,123,"4",NA,NA
"Male",152,132,"5",NA,NA
"Male",179,56,"1",NA,NA
"Female",145,141,"5",NA,NA
"Female",181,80,"2",NA,NA
"Male",158,127,"5",NA,NA
"Female",188,99,"3",NA,NA
"Male",145,142,"5",NA,NA
"Male",161,115,"5",NA,NA
"Male",198,109,"3",NA,NA
"Male",147,142,"5",NA,NA
"Male",154,112,"5",NA,NA
"Female",178,65,"2",NA,NA
"Male",195,153,"5",NA,NA
"Female",167,79,"3",NA,NA
"Male",183,131,"4",NA,NA
"Female",164,142,"5",NA,NA
"Male",167,64,"2",NA,NA
"Female",151,55,"2",NA,NA
"Female",147,107,"5",NA,NA
"Female",155,115,"5",NA,NA
"Female",172,108,"4",NA,NA
"Female",142,86,"5",NA,NA
"Male",146,85,"4",NA,NA
"Female",188,115,"4",NA,NA
"Male",173,111,"4",NA,NA
"Female",160,109,"5",NA,NA
"Male",187,80,"2",NA,NA
"Male",198,136,"4",NA,NA
"Female",179,150,"5",NA,NA
"Female",164,59,"2",NA,NA
"Female",146,147,"5",NA,NA
"Female",198,50,"0",NA,NA
"Female",170,53,"1",NA,NA
"Male",152,98,"5",NA,NA
"Female",150,153,"5",NA,NA
"Female",184,121,"4",NA,NA
"Female",141,136,"5",NA,NA
"Male",150,95,"5",NA,NA
"Male",173,131,"5",NA,NA
"Male",170,65,"2",1500,2000
"Male",100,65,"3",1500,2000
"Male",100,65,"3",1500,2000
"Male",100,65,"3",1500,2000
"Male",160,65,"2",1500,2000
"Male",160,65,"2",1500,2000
"Male",160,65,"2",1500,2000
"Male",181,100,"3",1500,2653
"Male",160,100,"5",1500,2000
"Male",160,65,"2",1500,2000
"Male",160,65,"2",1500,2000
"Male",160,65,"2",1500,2000
"Male",160,65,"2",1500,2000
"Male",160,65,"2",1500,2000
"Male",1,65,"3",1500,2000
"Male",160,65,"2",1500,2000
"Male",160,65,"2.2517",1500,2000
"Male",160,65,"2",1500,2000
"Male",190,65,"1",1500,2000
